iter	Logloss
0	0.4502022442
1	0.296214145
2	0.2000942788
3	0.140144237
4	0.102118504
5	0.07811670661
6	0.0621715603
7	0.05139808579
8	0.04407453275
9	0.0389163479
10	0.03526496488
11	0.03265733235
12	0.03072465628
13	0.02929715199
14	0.02823341112
15	0.02743919964
16	0.0268072784
17	0.02634913838
18	0.02597290636
19	0.02569032471
20	0.02546022734
21	0.02527473342
22	0.02512219251
23	0.0250102684
24	0.0249210289
25	0.02484274795
26	0.02478093391
27	0.02472569371
28	0.02467834771
29	0.02464127011
30	0.02462030328
31	0.02460526438
32	0.02457896027
33	0.02455283481
34	0.02452929944
35	0.02450949411
36	0.02448602099
37	0.02447795047
38	0.02446400324
39	0.02445127802
40	0.02443436827
41	0.0244293685
42	0.02442142833
43	0.0244152752
44	0.02440492592
45	0.02440100501
46	0.02439323359
47	0.02438617676
48	0.02438068701
49	0.0243737582
50	0.02436453957
51	0.02435996052
52	0.02435260866
53	0.02434268999
54	0.0243342325
55	0.02432817074
56	0.02432301152
57	0.02431673503
58	0.02431296949
59	0.02430945765
60	0.02430459928
61	0.02429894602
62	0.0242935005
63	0.02429003813
64	0.02428307324
65	0.02427905049
66	0.02427398962
67	0.02427156945
68	0.02426608494
69	0.02426321263
70	0.02425625996
71	0.02425262651
72	0.02424856245
73	0.02424577335
74	0.02424299647
75	0.0242348375
76	0.0242283009
77	0.02422482224
78	0.02421972586
79	0.02421438509
80	0.02421064166
81	0.02420883715
82	0.02420623019
83	0.024201604
84	0.02419765865
85	0.02419336938
86	0.02419030679
87	0.02418800126
88	0.02418558691
89	0.02418370908
90	0.02418044515
91	0.02417877914
92	0.0241771847
93	0.02417446078
94	0.02417336329
95	0.02416748483
96	0.02416458226
97	0.02415801715
98	0.02415565459
99	0.02415286142
100	0.02414765099
101	0.02414371262
102	0.02413968987
103	0.02413691939
104	0.02413357224
105	0.02413130454
106	0.02412757565
107	0.02412311065
108	0.02411951095
109	0.02411688537
110	0.02411372094
111	0.02411255247
112	0.0241105117
113	0.02410858325
114	0.02410552589
115	0.02410239172
116	0.02410097884
117	0.02409842309
118	0.02409514403
119	0.02409302762
120	0.02408981838
121	0.02408795277
122	0.02408482093
123	0.02407974958
124	0.02407644665
125	0.02407417255
126	0.0240727649
127	0.02407064209
128	0.0240675248
129	0.02406613578
130	0.02406446046
131	0.02406124598
132	0.02405971323
133	0.02405654589
134	0.02405495262
135	0.02405329883
136	0.02404989756
137	0.02404892519
138	0.0240441541
139	0.02404044151
140	0.02403866959
141	0.02403608416
142	0.02403567043
143	0.02403485575
144	0.02403354296
145	0.0240321906
146	0.02403018243
147	0.02402823768
148	0.02402780939
149	0.02402311338
150	0.02402139965
151	0.0240174927
152	0.02401459711
153	0.02401007625
154	0.02400777421
155	0.02400632351
156	0.02400311834
157	0.02400180846
158	0.0239999993
159	0.02399795214
160	0.02399571353
161	0.02399070852
162	0.02398962209
163	0.0239875051
164	0.02398648734
165	0.02398425571
166	0.02398231736
167	0.02398145439
168	0.02398017011
169	0.02397853029
170	0.02397677583
171	0.02397592915
172	0.02397503708
173	0.02397345254
174	0.02396884555
175	0.02396776901
176	0.02396635381
177	0.02396513645
178	0.0239635909
179	0.02396237645
180	0.02395846077
181	0.02395665918
182	0.02395573918
183	0.02395273361
184	0.02394868525
185	0.02394480566
186	0.02394239771
187	0.02394144163
188	0.02393947535
189	0.02393866766
190	0.02393684221
191	0.0239335614
192	0.02393287009
193	0.02393051742
194	0.02392900038
195	0.02392693925
196	0.02392387957
197	0.02392331511
198	0.02391990395
199	0.02391650036
200	0.02391385324
201	0.02391090819
202	0.02390924859
203	0.02390628201
204	0.02390531545
205	0.02390373789
206	0.02390101979
207	0.02390015972
208	0.02389892782
209	0.02389617247
210	0.02389447911
211	0.02389256113
212	0.02388991286
213	0.02388927334
214	0.02388792156
215	0.02388717497
216	0.02388635215
217	0.02388437714
218	0.02388265527
219	0.02387961304
220	0.02387890369
221	0.02387750943
222	0.02387604243
223	0.02387557109
224	0.02387517481
225	0.02387436537
226	0.02387310611
227	0.02387200048
228	0.02387022798
229	0.02386975198
230	0.02386752559
231	0.02386702166
232	0.02386600855
233	0.02386456657
234	0.02386370302
235	0.02386264045
236	0.02386102914
237	0.02385751149
238	0.02385609512
239	0.02385457226
240	0.02385362083
241	0.02385288588
242	0.02385174184
243	0.02385018291
244	0.02384960565
245	0.02384866994
246	0.02384698763
247	0.02384595591
248	0.02384538854
249	0.02384165733
250	0.02384066285
251	0.02383992615
252	0.02383938148
253	0.02383870297
254	0.02383789703
255	0.02383719
256	0.02383608612
257	0.02383445444
258	0.02383197492
259	0.02383010815
260	0.02382814537
261	0.02382710026
262	0.02382554073
263	0.02382499257
264	0.02382358842
265	0.02382188226
266	0.02382124565
267	0.023820115
268	0.02381904603
269	0.02381808297
270	0.02381581875
271	0.02381494356
272	0.02381380651
273	0.02381073693
274	0.02381012825
275	0.02380946138
276	0.02380857629
277	0.02380798158
278	0.02380722393
279	0.02380470426
280	0.02380053254
281	0.02380023635
282	0.02379948394
283	0.02379912432
284	0.02379671288
285	0.02379614784
286	0.02379513357
287	0.02379416469
288	0.02379362526
289	0.0237930771
290	0.02379159905
291	0.02378990103
292	0.02378688208
293	0.02378573048
294	0.02378441187
295	0.02378329635
296	0.02378281103
297	0.02378218315
298	0.02378069986
299	0.02378014181
300	0.02377947378
301	0.02377901348
302	0.02377807137
303	0.02377774783
304	0.02377518626
305	0.02377383041
306	0.0237733224
307	0.0237722738
308	0.02377155397
309	0.02377108961
310	0.02376982453
311	0.02376908434
312	0.02376812012
313	0.02376704358
314	0.02376650357
315	0.02376445873
316	0.02376129489
317	0.02376075371
318	0.02375951191
319	0.0237591197
320	0.02375856863
321	0.02375747464
322	0.02375638181
323	0.02375579816
324	0.02375389938
325	0.02375308704
326	0.0237526314
327	0.02375121445
328	0.02374899911
329	0.02374815593
330	0.02374794178
331	0.02374689725
332	0.02374540058
333	0.02374477677
334	0.02374434732
335	0.02374355243
336	0.02374145464
337	0.02374019073
338	0.02373974673
339	0.02373916773
340	0.0237366917
341	0.02373263113
342	0.0237315575
343	0.02372851178
